chr1:1718760-1718880	GNB1_Ex_11
chr1:1720472-1720592	GNB1_Ex_10
chr1:1720592-1720712	GNB1_Ex_10
chr1:1721824-1721944	GNB1_Ex_9
chr1:1721944-1722064	GNB1_Ex_9
chr1:1724634-1724754	GNB1_Ex_8
chr1:1735788-1735908	GNB1_Ex_7
chr1:1735908-1736028	GNB1_Ex_7
chr1:1737894-1738014	GNB1_Ex_6
chr1:1747185-1747305	GNB1_Ex_5
chr1:1749196-1749316	GNB1_Ex_4
chr1:1756816-1756936	GNB1_Ex_3
chr1:2327756-2327875	chr1p36.33
chr1:2998939-2999058	chr1p36.32
chr1:3692181-3692300	chr1p36.32
chr1:4363676-4363795	chr1p36.32
chr1:5330044-5330163	chr1p36.31
chr1:6170365-6170484	chr1p36.31
chr1:7928122-7928241	chr1p36.23
chr1:9009385-9009504	chr1p36.23
chr1:10318990-10319109	chr1p36.22
chr1:10964111-10964230	chr1p13.3
chr1:11772467-11772586	chr1p36.22
chr1:12658005-12658124	chr1p36.21
chr1:13786563-13786682	chr1p36.21
chr1:14630267-14630386	chr1p36.21
chr1:15613419-15613538	chr1p36.21
chr1:16700734-16700853	chr1p36.13
chr1:17929921-17930040	chr1p36.13
chr1:18651887-18652006	chr1p36.13
chr1:19331434-19331553	chr1p36.13
chr1:20632108-20632227	chr1p36.12
chr1:21672126-21672245	chr1p36.12
chr1:22652442-22652561	chr1p36.12
chr1:23310426-23310545	chr1p36.12
chr1:23972550-23972669	chr1p36.11
chr1:24635111-24635230	chr1p36.11
chr1:25309200-25309319	chr1p36.11
chr1:26494827-26494946	chr1p36.11
chr1:27022835-27022955	ARID1A_Ex_1
chr1:27022955-27023075	ARID1A_Ex_1
chr1:27023075-27023195	ARID1A_Ex_1
chr1:27023195-27023315	ARID1A_Ex_1
chr1:27023315-27023435	ARID1A_Ex_1
chr1:27023435-27023555	ARID1A_Ex_1
chr1:27023555-27023675	ARID1A_Ex_1
chr1:27023675-27023795	ARID1A_Ex_1
chr1:27023795-27023915	ARID1A_Ex_1
chr1:27023915-27024035	ARID1A_Ex_1
chr1:27056132-27056252	ARID1A_Ex_2
chr1:27056252-27056372	ARID1A_Ex_2
chr1:27057633-27057753	ARID1A_Ex_3
chr1:27057753-27057873	ARID1A_Ex_3
chr1:27057873-27057993	ARID1A_Ex_3
chr1:27057993-27058113	ARID1A_Ex_3
chr1:27059097-27059217	ARID1A_Ex_4
chr1:27059217-27059337	ARID1A_Ex_4
chr1:27087297-27087417	ARID1A_Ex_5
chr1:27087417-27087537	ARID1A_Ex_5
chr1:27087537-27087657	ARID1A_Ex_5
chr1:27087865-27087985	ARID1A_Ex_6
chr1:27088603-27088723	ARID1A_Ex_7
chr1:27088723-27088843	ARID1A_Ex_7
chr1:27089454-27089574	ARID1A_Ex_8
chr1:27089574-27089694	ARID1A_Ex_8
chr1:27089694-27089814	ARID1A_Ex_8
chr1:27092662-27092782	ARID1A_Ex_9
chr1:27092782-27092902	ARID1A_Ex_9
chr1:27092938-27093058	ARID1A_Ex_10
chr1:27094271-27094391	ARID1A_Ex_11
chr1:27094391-27094511	ARID1A_Ex_11
chr1:27097580-27097700	ARID1A_Ex_12
chr1:27097700-27097820	ARID1A_Ex_12
chr1:27098951-27099071	ARID1A_Ex_13
chr1:27099071-27099191	ARID1A_Ex_13
chr1:27099273-27099393	ARID1A_Ex_14
chr1:27099393-27099513	ARID1A_Ex_14
chr1:27099797-27099917	ARID1A_Ex_15
chr1:27099917-27100037	ARID1A_Ex_15
chr1:27100011-27100131	ARID1A_Ex_16
chr1:27100131-27100251	ARID1A_Ex_16
chr1:27100283-27100403	ARID1A_Ex_17
chr1:27100770-27100890	ARID1A_Ex_18
chr1:27100890-27101010	ARID1A_Ex_18
chr1:27101010-27101130	ARID1A_Ex_18
chr1:27101130-27101250	ARID1A_Ex_18
chr1:27101250-27101370	ARID1A_Ex_18
chr1:27101370-27101490	ARID1A_Ex_18
chr1:27101490-27101610	ARID1A_Ex_18
chr1:27101610-27101730	ARID1A_Ex_18
chr1:27101988-27102108	ARID1A_Ex_19
chr1:27102108-27102228	ARID1A_Ex_19
chr1:27105484-27105604	ARID1A_Ex_20
chr1:27105604-27105724	ARID1A_Ex_20
chr1:27105724-27105844	ARID1A_Ex_20
chr1:27105844-27105964	ARID1A_Ex_20
chr1:27105964-27106084	ARID1A_Ex_20
chr1:27106084-27106204	ARID1A_Ex_20
chr1:27106204-27106324	ARID1A_Ex_20
chr1:27106324-27106444	ARID1A_Ex_20
chr1:27106444-27106564	ARID1A_Ex_20
chr1:27106564-27106684	ARID1A_Ex_20
chr1:27106684-27106804	ARID1A_Ex_20
chr1:27106804-27106924	ARID1A_Ex_20
chr1:27106924-27107044	ARID1A_Ex_20
chr1:27107044-27107164	ARID1A_Ex_20
chr1:27107164-27107284	ARID1A_Ex_20
chr1:28211591-28211710	chr1p35.3
chr1:29445455-29445574	chr1p35.3
chr1:30284031-30284150	chr1p35.2
chr1:30988471-30988590	chr1p35.2
chr1:31709155-31709274	chr1p35.2
chr1:32314241-32314360	chr1p35.2
chr1:33199308-33199427	chr1p35.1
chr1:34314352-34314471	chr1p35.1
chr1:34988895-34989014	chr1p34.3
chr1:36616278-36616397	chr1p34.3
chr1:36931938-36932058	CSF3R_Ex_17
chr1:36932058-36932178	CSF3R_Ex_17
chr1:36932178-36932298	CSF3R_Ex_17
chr1:36932298-36932418	CSF3R_Ex_17
chr1:36932418-36932538	CSF3R_Ex_17
chr1:36932821-36932941	CSF3R_Ex_16
chr1:36933149-36933269	CSF3R_Ex_15
chr1:36933393-36933513	CSF3R_Ex_14
chr1:36933513-36933633	CSF3R_Ex_14
chr1:37513444-37513563	chr1p34.3
chr1:38228198-38228317	chr1p34.3
chr1:38960978-38961097	chr1p34.3
chr1:39919175-39919294	chr1p34.3
chr1:40541090-40541209	chr1p34.2
chr1:41453394-41453513	chr1p34.2
chr1:42331120-42331239	chr1p34.2
chr1:43309324-43309443	chr1p34.2
chr1:43814924-43815044	MPL_Ex_10
chr1:43817867-43817987	MPL_Ex_11
chr1:43818099-43818219	MPL_Ex_12
chr1:43818219-43818339	MPL_Ex_12
chr1:43818339-43818459	MPL_Ex_12
chr1:44252956-44253075	chr1p34.1
chr1:45005941-45006060	chr1p34.1
chr1:45973869-45973988	chr1p34.1
chr1:46629594-46629713	chr1p34.1
chr1:47645936-47646055	chr1p33
chr1:48318630-48318749	chr1p33
chr1:48996820-48996939	chr1p33
chr1:50644577-50644696	chr1p33
chr1:52535912-52536031	chr1p32.3
chr1:53250856-53250975	chr1p32.3
chr1:54003689-54003808	chr1p32.3
chr1:54656592-54656711	chr1p32.3
chr1:55672271-55672390	chr1p32.3
chr1:56291903-56292022	chr1p32.2
chr1:56961697-56961816	chr1p32.2
chr1:57671604-57671723	chr1p32.2
chr1:58294705-58294824	chr1p32.2
chr1:58926137-58926256	chr1p32.2
chr1:59951646-59951765	chr1p32.1
chr1:60942305-60942424	chr1p32.1
chr1:62275839-62275958	chr1p31.3
chr1:63306173-63306292	chr1p31.3
chr1:64118184-64118303	chr1p31.3
chr1:64903436-64903555	chr1p31.3
chr1:65662922-65663041	chr1p31.3
chr1:66619519-66619638	chr1p31.3
chr1:67292419-67292538	chr1p31.3
chr1:68299232-68299351	chr1p31.3
chr1:68900798-68900917	chr1p31.2
chr1:69614523-69614642	chr1p31.2
chr1:70596476-70596595	chr1p31.1
chr1:71256448-71256567	chr1p31.1
chr1:71957201-71957320	chr1p31.1
chr1:72590806-72590925	chr1p31.1
chr1:74357040-74357159	chr1p31.1
chr1:75027333-75027452	chr1p31.1
chr1:76018252-76018371	chr1p31.1
chr1:76784577-76784696	chr1p31.1
chr1:77547772-77547891	chr1p31.1
chr1:78533826-78533945	chr1p31.1
chr1:79293756-79293875	chr1p31.1
chr1:79989836-79989955	chr1p31.1
chr1:80629097-80629216	chr1p31.1
chr1:81267466-81267585	chr1p31.1
chr1:82268096-82268215	chr1p31.1
chr1:83955916-83956035	chr1p31.1
chr1:84918137-84918256	chr1p22.3
chr1:85583103-85583222	chr1p22.3
chr1:86279980-86280099	chr1p22.3
chr1:86947688-86947807	chr1p22.3
chr1:87699499-87699618	chr1p22.3
chr1:88971602-88971721	chr1p22.2
chr1:89935042-89935161	chr1p22.2
chr1:90947910-90948029	chr1p22.2
chr1:91605432-91605551	chr1p22.2
chr1:92281526-92281645	chr1p22.1
chr1:92941546-92941666	GFI1_Ex_7
chr1:92941666-92941786	GFI1_Ex_7
chr1:92944135-92944255	GFI1_Ex_6
chr1:92944255-92944375	GFI1_Ex_6
chr1:92945845-92945965	GFI1_Ex_5
chr1:92945965-92946085	GFI1_Ex_5
chr1:92946128-92946248	GFI1_Ex_4
chr1:92946248-92946368	GFI1_Ex_4
chr1:92946368-92946488	GFI1_Ex_4
chr1:92946488-92946608	GFI1_Ex_4
chr1:92946608-92946728	GFI1_Ex_4
chr1:92948381-92948501	GFI1_Ex_3
chr1:92948501-92948621	GFI1_Ex_3
chr1:92948840-92948960	GFI1_Ex_2
chr1:92948960-92949080	GFI1_Ex_2
chr1:94310635-94310754	chr1p22.1
chr1:94937951-94938070	chr1p21.3
chr1:95607627-95607746	chr1p21.3
chr1:96610275-96610394	chr1p21.3
chr1:97284780-97284899	chr1p21.3
chr1:97951910-97952029	chr1p21.3
chr1:98615015-98615134	chr1p21.3
chr1:99589365-99589484	chr1p21.3
chr1:100277540-100277659	chr1p21.2
chr1:100970287-100970406	chr1p21.2
chr1:101621029-101621148	chr1p21.2
chr1:102273889-102274008	chr1p21.1
chr1:103318861-103318980	chr1p21.1
chr1:104048265-104048384	chr1p21.1
chr1:104944540-104944659	chr1p21.1
chr1:105638362-105638481	chr1p21.1
chr1:106306123-106306242	chr1p21.1
chr1:107220282-107220401	chr1p13.3
chr1:107936334-107936453	chr1p13.3
chr1:108879019-108879138	chr1p13.3
chr1:109954120-109954239	chr1p13.3
chr1:110591989-110592108	chr1p13.3
chr1:111276517-111276636	chr1p13.3
chr1:112263157-112263276	chr1p13.2
chr1:112898677-112898796	chr1p13.2
chr1:113599908-113600027	chr1p13.2
chr1:114372273-114372392	chr1p13.2
chr1:115252110-115252230	NRAS_Ex_4
chr1:115252230-115252350	NRAS_Ex_4
chr1:115256371-115256491	NRAS_Ex_3
chr1:115256491-115256611	NRAS_Ex_3
chr1:115258661-115258781	NRAS_Ex_2
chr1:115269152-115269271	chr1p13.2
chr1:115941915-115942034	chr1p13.2
chr1:116940422-116940541	chr1p13.1
chr1:117569331-117569450	chr1p13.1
chr1:118254999-118255118	chr1p12
chr1:119577778-119577897	chr1p12
chr1:120242478-120242597	chr1p12
chr1:121290175-121290294	chr1p11.1
chr1:143243955-143244074	chr1q21.1
chr1:143938949-143939068	chr1q21.1
chr1:145555594-145555713	chr1q21.1
chr1:146549806-146549925	chr1q21.1
chr1:147249824-147249943	chr1q21.2
chr1:149912060-149912179	chr1q21.2
chr1:150536121-150536240	chr1q21.3
chr1:151263723-151263842	chr1q21.3
chr1:151952826-151952945	chr1q21.3
chr1:152590128-152590247	chr1q21.3
chr1:153234989-153235108	chr1q21.3
chr1:154245453-154245572	chr1q21.3
chr1:155258693-155258812	chr1q22
chr1:155870169-155870289	RIT1_Ex_6
chr1:155870289-155870409	RIT1_Ex_6
chr1:155874092-155874212	RIT1_Ex_5
chr1:155874212-155874332	RIT1_Ex_5
chr1:155874502-155874622	RIT1_Ex_4
chr1:155880221-155880341	RIT1_Ex_3
chr1:155880437-155880557	RIT1_Ex_2
chr1:155880557-155880677	RIT1_Ex_2
chr1:155880649-155880769	RIT1_Ex_1
chr1:156215840-156215959	chr1q23.1
chr1:157557642-157557761	chr1q23.1
chr1:158166772-158166891	chr1q23.1
chr1:158819265-158819384	chr1q23.1
chr1:159652880-159652999	chr1q23.2
chr1:160265456-160265575	chr1q23.2
chr1:161239084-161239203	chr1q23.3
chr1:161963548-161963667	chr1q23.3
chr1:162592643-162592762	chr1q23.3
chr1:163289512-163289631	chr1q23.3
chr1:163910197-163910316	chr1q23.3
chr1:164904514-164904633	chr1q23.3
chr1:165967361-165967480	chr1q24.1
chr1:166899748-166899867	chr1q24.1
chr1:167569671-167569790	chr1q24.2
chr1:168230272-168230391	chr1q24.2
chr1:169093339-169093458	chr1q24.2
chr1:170231540-170231659	chr1q24.2
chr1:171218896-171219015	chr1q24.3
chr1:171907112-171907231	chr1q24.3
chr1:172607890-172608009	chr1q24.3
chr1:173223804-173223923	chr1q25.1
chr1:173832713-173832832	chr1q25.1
chr1:175594022-175594141	chr1q25.1
chr1:176411562-176411681	chr1q25.2
chr1:177236329-177236448	chr1q25.2
chr1:178590335-178590454	chr1q25.2
chr1:179522162-179522281	chr1q25.2
chr1:180896871-180896990	chr1q25.3
chr1:181549488-181549607	chr1q25.3
chr1:182581098-182581217	chr1q25.3
chr1:183578795-183578914	chr1q25.3
chr1:184524752-184524871	chr1q25.3
chr1:185219621-185219740	chr1q25.3
chr1:185988508-185988627	chr1q31.1
chr1:187276420-187276539	chr1q31.1
chr1:188219835-188219954	chr1q31.1
chr1:188943667-188943786	chr1q31.1
chr1:190067078-190067198	BRINP3_Ex_8
chr1:190067198-190067318	BRINP3_Ex_8
